img_name;free_parking_places
C:/Opencv/2/user_task/images/56c91588-b635-49b5-bc33-9135e7a80cf2.jpg;[1, 2, 3]
C:/Opencv/2/user_task/images/39cf8dac-0e5c-4da0-a4dc-620b34927bc4.jpg;[2, 3]
C:/Opencv/2/user_task/images/4dc541bd-f14f-41d9-955f-9bc9fe7f4221.jpg;[]
C:/Opencv/2/user_task/images/3f989132-2c03-44ae-83d3-da3ec04cf8ba.jpg;[]
C:/Opencv/2/user_task/images/08d567e4-e332-4aaf-b53b-8c6f129d6508.jpg;[]
C:/Opencv/2/user_task/images/6b5706ba-76ff-4d5f-8610-15f977515d34.jpg;[]
C:/Opencv/2/user_task/images/55aeb80b-f289-42d0-bb25-729d306aef9f.jpg;[2, 3]
C:/Opencv/2/user_task/images/1df2944b-79c4-4e65-96c3-8e24f24163ab.jpg;[1, 3]
C:/Opencv/2/user_task/images/4dd79f32-61b8-4d61-ba22-19dc0df0e78b.jpg;[2]
C:/Opencv/2/user_task/images/5a0a4a0c-ea8e-4a81-a171-8c46d51b5233.jpg;[1, 3]
C:/Opencv/2/user_task/images/ee8a3a77-3e0c-4afa-a570-b33fc4d55916.jpg;[]
C:/Opencv/2/user_task/images/9e76e098-5aa4-493c-8467-2a9c4a354586.jpg;[1]
C:/Opencv/2/user_task/images/2f98ce99-30c1-4e5b-adf2-3a3daf227c56.jpg;[1, 2, 3]
C:/Opencv/2/user_task/images/59dd32f6-15ba-45ec-a2e8-d822f170001b.jpg;[3]
C:/Opencv/2/user_task/images/0fb08761-c757-4a39-8142-8bc67c732dc9.jpg;[]
C:/Opencv/2/user_task/images/a1dc699e-71de-4230-b83d-ed1409b3e717.jpg;[]
C:/Opencv/2/user_task/images/9c765e55-e2ea-4eb5-bc24-393c82092a5b.jpg;[]
C:/Opencv/2/user_task/images/8491c622-f2ee-43bd-8950-4f9ab0592c34.jpg;[]
C:/Opencv/2/user_task/images/87006405-d294-4d05-ad07-a2fc00004718.jpg;[1]
C:/Opencv/2/user_task/images/7467d093-32da-44bd-bd89-aa61152f9838.jpg;[2, 3]
